hand,token,count,share
1,cphoy,2,0.00027498968788670426
1,ctchy,2,0.00027498968788670426
1,ctheody,2,0.00027498968788670426
1,ctheor,2,0.00027498968788670426
1,cthes,2,0.00027498968788670426
1,cthoiin,2,0.00027498968788670426
1,cthols,2,0.00027498968788670426
1,cthory,2,0.00027498968788670426
1,cty,2,0.00027498968788670426
1,dady,2,0.00027498968788670426
1,daiim,2,0.00027498968788670426
1,dairin,2,0.00027498968788670426
1,dairo,2,0.00027498968788670426
1,dalor,2,0.00027498968788670426
1,dals,2,0.00027498968788670426
1,daly,2,0.00027498968788670426
1,damo,2,0.00027498968788670426
1,dcheo,2,0.00027498968788670426
1,dchodaiin,2,0.00027498968788670426
1,ddy,2,0.00027498968788670426
1,doiiin,2,0.00027498968788670426
1,doldaiin,2,0.00027498968788670426
1,doroiin,2,0.00027498968788670426
1,dpchy,2,0.00027498968788670426
1,dshe,2,0.00027498968788670426
1,dsheey,2,0.00027498968788670426
1,dsheor,2,0.00027498968788670426
1,dykaiin,2,0.00027498968788670426
1,dykchy,2,0.00027498968788670426
1,dyky,2,0.00027498968788670426
1,dytchy,2,0.00027498968788670426
1,eees,2,0.00027498968788670426
1,eeor,2,0.00027498968788670426
1,f,2,0.00027498968788670426
1,fcholdy,2,0.00027498968788670426
1,foar,2,0.00027498968788670426
1,k,2,0.00027498968788670426
1,ka,2,0.00027498968788670426
1,kain,2,0.00027498968788670426
1,kair,2,0.00027498968788670426
1,kar,2,0.00027498968788670426
1,kchar,2,0.00027498968788670426
1,kcheor,2,0.00027498968788670426
1,kchokchy,2,0.00027498968788670426
1,kchom,2,0.00027498968788670426
1,kechy,2,0.00027498968788670426
1,key,2,0.00027498968788670426
1,koaiin,2,0.00027498968788670426
1,kod,2,0.00027498968788670426
1,kodaiin,2,0.00027498968788670426
1,kody,2,0.00027498968788670426
1,kokaiin,2,0.00027498968788670426
1,koldy,2,0.00027498968788670426
1,kom,2,0.00027498968788670426
1,kooiin,2,0.00027498968788670426
1,koraiin,2,0.00027498968788670426
1,kos,2,0.00027498968788670426
1,ksheody,2,0.00027498968788670426
1,kshol,2,0.00027498968788670426
1,kshor,2,0.00027498968788670426
1,lshy,2,0.00027498968788670426
1,oaiir,2,0.00027498968788670426
1,ochey,2,0.00027498968788670426
1,ochol,2,0.00027498968788670426
1,octhy,2,0.00027498968788670426
1,odam,2,0.00027498968788670426
1,odan,2,0.00027498968788670426
1,odor,2,0.00027498968788670426
1,ofchar,2,0.00027498968788670426
1,ofchey,2,0.00027498968788670426
1,okan,2,0.00027498968788670426
1,okchan,2,0.00027498968788670426
1,okchody,2,0.00027498968788670426
1,okchom,2,0.00027498968788670426
1,okeal,2,0.00027498968788670426
1,oko,2,0.00027498968788670426
1,okod,2,0.00027498968788670426
1,okolor,2,0.00027498968788670426
1,olchey,2,0.00027498968788670426
1,oldam,2,0.00027498968788670426
1,oldy,2,0.00027498968788670426
1,opy,2,0.00027498968788670426
1,opydaiin,2,0.00027498968788670426
1,opydy,2,0.00027498968788670426
1,oraiin,2,0.00027498968788670426
1,orchey,2,0.00027498968788670426
1,oro,2,0.00027498968788670426
1,otaiir,2,0.00027498968788670426
1,otain,2,0.00027498968788670426
1,otchaiin,2,0.00027498968788670426
1,otchody,2,0.00027498968788670426
1,oteos,2,0.00027498968788670426
1,otey,2,0.00027498968788670426
1,otody,2,0.00027498968788670426
1,otoiin,2,0.00027498968788670426
1,otshol,2,0.00027498968788670426
1,otydy,2,0.00027498968788670426
1,oy,2,0.00027498968788670426
1,p,2,0.00027498968788670426
1,paiin,2,0.00027498968788670426
1,pchar,2,0.00027498968788670426
1,pcheey,2,0.00027498968788670426
1,pcheol,2,0.00027498968788670426
1,pchodol,2,0.00027498968788670426
1,pchy,2,0.00027498968788670426
1,podaiin,2,0.00027498968788670426
1,pol,2,0.00027498968788670426
1,pshol,2,0.00027498968788670426
1,py,2,0.00027498968788670426
1,pydaiin,2,0.00027498968788670426
1,q,2,0.00027498968788670426
1,qoar,2,0.00027498968788670426
1,qochol,2,0.00027498968788670426
1,qocphy,2,0.00027498968788670426
1,qocthol,2,0.00027498968788670426
1,qodchy,2,0.00027498968788670426
1,qoeor,2,0.00027498968788670426
1,qokal,2,0.00027498968788670426
1,qokchaiin,2,0.00027498968788670426
1,qokcheo,2,0.00027498968788670426
1,qokchod,2,0.00027498968788670426
1,qokechy,2,0.00027498968788670426
