token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
okeey,line_initial,17,172,0.0038680318543799774,0.004633870359394364,0.8347302695981162
qokaiin,line_initial,25,257,0.005688282138794084,0.006923864432350881,0.8215473012753262
oteey,line_initial,13,134,0.0029579067121729237,0.0036101083032490976,0.8193401592718998
shol,line_initial,16,174,0.0036405005688282138,0.004687752572875694,0.7765982765158944
or,line_initial,30,344,0.006825938566552901,0.009267740718788728,0.7365267084689261
qokedy,line_initial,19,263,0.004323094425483504,0.00708551107279487,0.6101316307418125
qokain,line_initial,19,271,0.004323094425483504,0.00730103992672019,0.5921203648896557
okaiin,line_initial,13,203,0.0029579067121729237,0.005469044668354976,0.5408452282878551
qokal,line_initial,11,182,0.002502844141069397,0.004903281426801013,0.5104426858693071
chor,line_initial,12,203,0.0027303754266211604,0.005469044668354976,0.49924174918878933
ol,line_initial,29,507,0.006598407281001138,0.013659141117517107,0.4830762947854048
chol,line_initial,18,378,0.004095563139931741,0.010183738347971335,0.4021669646243025
cheeor,line_medial,14,14,0.000508794882977177,0.00037717549436930867,1.3489606047390612
cphol,line_medial,14,14,0.000508794882977177,0.00037717549436930867,1.3489606047390612
shal,line_medial,14,14,0.000508794882977177,0.00037717549436930867,1.3489606047390612
kchy,line_medial,27,27,0.0009812472743131269,0.0007274098819979525,1.348960604739061
she,line_medial,25,25,0.0009085622910306731,0.0006735276685166226,1.348960604739061
aiir,line_medial,23,23,0.0008358773077482192,0.0006196454550352928,1.348960604739061
chl,line_medial,22,22,0.0007995348161069923,0.0005927043482946279,1.348960604739061
keody,line_medial,22,22,0.0007995348161069923,0.0005927043482946279,1.348960604739061
chdal,line_medial,18,18,0.0006541648495420846,0.00048493992133196833,1.348960604739061
qockhey,line_medial,18,18,0.0006541648495420846,0.00048493992133196833,1.348960604739061
chdaiin,line_medial,16,16,0.0005814798662596307,0.0004310577078506385,1.348960604739061
cheeody,line_medial,12,12,0.0004361098996947231,0.0003232932808879789,1.348960604739061
ctheey,line_medial,12,12,0.0004361098996947231,0.0003232932808879789,1.348960604739061
chotar,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
keeey,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
otedar,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
qodain,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
qoteol,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
shckhey,line_medial,11,11,0.00039976740805349614,0.00029635217414731397,1.348960604739061
shckhy,line_medial,55,55,0.0019988370402674806,0.0014817608707365698,1.3489606047390608
sheo,line_medial,47,47,0.0017080971071376653,0.0012662320168112507,1.3489606047390608
chedar,line_medial,30,30,0.0010902747492368076,0.0008082332022199472,1.3489606047390608
shcthy,line_medial,30,30,0.0010902747492368076,0.0008082332022199472,1.3489606047390608
shear,line_medial,20,20,0.0007268498328245384,0.0005388221348132981,1.3489606047390608
chs,line_medial,15,15,0.0005451373746184038,0.0004041166011099736,1.3489606047390608
qoeey,line_medial,15,15,0.0005451373746184038,0.0004041166011099736,1.3489606047390608
qopchdy,line_medial,15,15,0.0005451373746184038,0.0004041166011099736,1.3489606047390608
chckhdy,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
chkal,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
key,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
shedaiin,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
shee,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
teedy,line_medial,13,13,0.00047245239133594997,0.0003502343876286438,1.3489606047390608
checkhey,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
chokain,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
ctheol,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
oteeody,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
qopchey,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
tey,line_medial,10,10,0.0003634249164122692,0.00026941106740664906,1.3489606047390608
cheo,line_medial,63,64,0.002289576973397296,0.001724230831402554,1.3278830952900131
checkhy,line_medial,45,46,0.0016354121238552116,0.0012392909100705856,1.3196353742012554
keey,line_medial,42,43,0.0015263846489315307,0.001158467589848591,1.317589427884664
sheedy,line_medial,81,83,0.002943741822939381,0.002236111859475187,1.3164555299260716
sheckhy,line_medial,34,35,0.0012356447158017154,0.0009429387359232717,1.3104188731750879
