token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
alshdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alshedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alshees,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alshey,0.00010535465009086838,0.00022753128555176336,0.00010576414595452142,0.0,0.0
alshy,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alsy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alteol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aly,0.0007638212131587958,0.0,0.0005640754450907809,0.0029579067121729237,0.0
alys,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
am,0.0023178023019991044,0.0,0.0008108584523179975,0.01478953356086462,0.0
amam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aman,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
amchd,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
amchy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
amd,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
amg,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
amod,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
amom,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
amy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
an,0.00021070930018173676,0.0,0.00017627357659086903,0.0006825938566552901,0.0
aol,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aporair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
apy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ar,0.009297547870519136,0.0009101251422070534,0.011352018332451965,0.005915813424345847,0.0012315270935960591
araiin,0.000263386625227171,0.0,0.00028203772254539045,0.0004550625711035267,0.0
arain,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
arair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arairaly,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arakaiin,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
aral,0.0004214186003634735,0.0,0.00028203772254539045,0.0018202502844141069,0.0
aralary,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arald,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aralos,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arals,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
araly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aram,0.0003160639502726052,0.0,0.00014101886127269522,0.0018202502844141069,0.0
arar,0.0001843706376590197,0.0,0.00014101886127269522,0.0006825938566552901,0.0
araral,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
araram,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ararchodaiin,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
araroy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arary,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
araydy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
archeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
archeody,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
archeor,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
archol,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arcsy,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
are,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aree,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arg,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ariin,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
arl,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
aro,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arod,5.267732504543419e-05,0.0,0.0,0.0004550625711035267,0.0
arodaim,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arodchedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arodl,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
arodly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arody,0.00034240261279532225,0.0,0.00021152829190904283,0.0015927189988623437,0.0
aroiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aroka,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
